127.0.0.1 - - [28/Oct/2019:09:45:36 +0900] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:45:51 +0900] "GET /cop/boot/index.jsp HTTP/1.1" 200 9167
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:45:51 +0900] "GET /cop/boot/index.jsp HTTP/1.1" 200 9167
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:45:53 +0900] "GET /cop/boot/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:45:53 +0900] "GET /cop/boot/css/shop-homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:45:53 +0900] "GET /cop/boot/main.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:45:53 +0900] "GET /cop/boot/img/dlqpsxm1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:45:53 +0900] "GET /cop/boot/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:45:53 +0900] "GET /cop/boot/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:45:53 +0900] "GET /cop/boot/img/dlqpsxm2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:45:53 +0900] "GET /cop/boot/img/dlqpsxm3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:45:53 +0900] "GET /cop/boot/img/hh.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:45:53 +0900] "GET /cop/boot/tkdvna_img/dkapflzksh1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:45:53 +0900] "GET /cop/boot/img/kk.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:45:53 +0900] "GET /cop/boot/img/pp2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:45:53 +0900] "GET /cop/boot/img/pp1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:45:53 +0900] "GET /cop/boot/img/pp3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:45:54 +0900] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:46:05 +0900] "GET /cop/boot/notice.jsp HTTP/1.1" 200 6513
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:46:05 +0900] "GET /cop/boot/bootstrap-3.3.2-dist/css/bootstrap.min.css HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:46:05 +0900] "GET /cop/boot/bootstrap-3.3.2-dist/css/bootstrap.min.css HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:46:38 +0900] "GET /cop/boot/Coffe1.jsp HTTP/1.1" 200 20238
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:46:38 +0900] "GET /cop/boot/Coffe_files/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:46:38 +0900] "GET /cop/boot/Coffe_files/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:46:38 +0900] "GET /cop/boot/Coffe_files/idangerous.swiper.scrollbar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:46:38 +0900] "GET /cop/boot/Coffe_files/jquery.mCustomScrollbar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:46:38 +0900] "GET /cop/boot/Coffe_files/idangerous.swiper.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:46:38 +0900] "GET /cop/boot/Coffe_files/jquery.scrollbar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:46:38 +0900] "GET /cop/boot/Coffe_files/ezmark.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:46:38 +0900] "GET /cop/boot/Coffe_files/jquery.bxslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:46:38 +0900] "GET /cop/boot/Coffe_files/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:46:38 +0900] "GET /cop/boot/Coffe_files/sdk.js(1).%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:46:38 +0900] "GET /cop/boot/Coffe_files/sdk.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:46:38 +0900] "GET /cop/boot/Coffe_files/analytics.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:46:38 +0900] "GET /cop/boot/Coffe_files/coffee_productFinder_tit1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:46:38 +0900] "GET /cop/boot/Coffe_files/taste1_1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:46:38 +0900] "GET /cop/boot/Coffe_files/style_dt.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:46:38 +0900] "GET /cop/boot/Coffe_files/taste1_3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:46:38 +0900] "GET /cop/boot/Coffe_files/taste1_2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:46:38 +0900] "GET /cop/boot/Coffe_files/taste1_4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:46:38 +0900] "GET /cop/boot/Coffe_files/style_coffee.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:46:38 +0900] "GET /cop/boot/fonts/NanumBarunGothic.woff HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:46:38 +0900] "GET /cop/boot/Coffe_files/sdk.js(1).%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:46:38 +0900] "GET /cop/boot/Coffe_files/sdk.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:46:38 +0900] "GET /cop/boot/Coffe_files/analytics.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:46:38 +0900] "GET /cop/boot/img/coffee/findWrap_bg.jpg HTTP/1.1" 404 1071
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:46:38 +0900] "GET /cop/boot/img/footer/footer_logo.png HTTP/1.1" 404 1071
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:46:38 +0900] "GET /cop/boot/Coffe_files/xd_arbiter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:46:40 +0900] "GET /cop/boot/index.jsp HTTP/1.1" 200 9167
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:46:45 +0900] "GET /cop/boot/Coffe1.jsp HTTP/1.1" 200 20238
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:46:45 +0900] "GET /cop/boot/Coffe_files/sdk.js(1).%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [28/Oct/2019:09:46:45 +0900] "GET /cop/boot/Coffe_files/sdk.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1100
